unique_sciname,unique_common_name
prunus maakii,jefspur
malux x,NA
malus x,jefgreen
acer rubrum,armstong gold
ulmus americana,brandon
ulmus americana,princeton
acer ginnala,flame
larix kaempferi jacobse,NA
phellodendron l.,longenecker
populus tremula,erecta
amelanchier laevis,lustre
fagus sylvatica,purpurea
acer saccharinum,lutescens
betula platyphylla,dakota pinnacle
malus x,adirondack
juniperus virginiana,skyrocket
juniperus scopulorum,wichita blue
ginkgo biloba,fastigiata
picea pungens,koster
larix decidua,pendula
gleditsia triacanthos,halka
malus prunifolia,rinki
acer rubrum,red sunset
cercis canadensis,forest pansy
ulmus x,sapporo autumn gold
acer platanoides,schwedleri
populus x canadensis,erecta
betula p.,NA
acer saccharum,apollo
pyrus ussuriensis,mountain frost
acer negundo,kelly
syringa reticulata,golden eclipse
ulmus pumila,park royal
pyrus calleryana,autumn blaze
acer saccharum,legacy
acer tataricum,garann
prunus x yedoensis,akebono
cercidiphyllum japonicum,red fox
gleditsia triacanthos,rubylace
acer rubrum,october glory
quercus palustris,green pillar
elaeagnus angustifolia,velvet touch
ulmus x,cathedral
acer pseudoplatanus,regal petticoat
malus x,harvest gold
gymnocladus dioicus,espresso
sorbus thuringiaca,fastigiata
thuja occidentalis,pyramidalis
malus x,rudolph
acer x freemanii,scarlet sentinel
populus alba,nivea
acer freemanii,amstrong gold
sorbus aucuparia,rossica
fraxinus excelsior,hessei
fraxinus pennsylvanica,aucubifolia
fraxinus excelsior,diversifolia
fraxinus pennsylvanica,harlequin
fraxinus pennsylvanica,warverley
fraxinus americana,juglandifolia
fraxinus excelsior,doorenbos
fraxinus angustifolia,raywood
fraxinus excelsior,kimberly
fraxinus excelsior,eureka
fraxinus excelsior,aurefolia
fraxinus pennsylvanica,subintergerrima
robinia pseudoacacia,purple robe
malus x,selkirk
malus x,maypole
catalpa bignonioides,nana
acer platanoides,drummondii
prunus avium,lapins
taxodium distichum,mickelson
magnolia stellata,royal star
thuya occidentalis degroo,NA
tilia americana,boulevard
carpinus betulus,fastigiata
alnus glutinosa,imperialis
acer rubrum,bowhall
maackia amurensis,summertime
pinus nigra,arnold sentinel
malus domestica,redfree
prunus cerasus,meteor
aesculus carnea,briotii
betula papyrifera,renaissance reflection
prunus salicina,ptitsin
prunus sub. syriaca,compass
prunus avium,bing
malus x,golden raindrops
salix pentendra,NA
zelkova serrata,green vase
amelanchier x grandiflora,robin hill
carpinus betulus,frans fontaine
picea pungens,bakeri
malus baccata,mandshurica
chamaecyparis nootkatensis,aurea
malus x,hopa
fraxinus americana,skyline
amelanchier x grandiflora,ballerina
sorbus aucuparia,cardinal royal
fagus sylvatica,dawyck purple
fagus sylvatica,dawyck green
robinia pseudoacacia,frisia
fagus sylvatica,red obelisk
pinus sylvestris,fastigiata
morus alba,pendula
malus ioensis,plena
acer rubrum,autumn flame
ginkgo biloba,golden colonnade
betula pendula,fastigiata
prunus fructicosa xcerasus,crimson passion
pyrus pyrifolia,shinseiki
prunus salicina,early golden
acer freemanii,sienna
betula pendula,tristis
prunus cerasus,north star
malus domestica,rouville
malus x,winter gold
prunus padus,colorata
prunus padus,commutata
taxus cuspidata,capitata
thuja occidentalis,sunkist
malus x,indian summer
acer x freemanii,sienna glen
malus domestica,empire
ulmus americana,jefferson
prunus domestica,mirabelle
fraxinus americana,northern blaze
thuja occidentalis,spiralis
ulmus glabra,camperdownii
acer x,pacific sunset
tilia tomentosa,brabant
ulmus x hollandica,groeneveld
acer saccharum,endowment
acer negundo,baron
pseudotsuga menziesii,pendula
populus x canadensis,eugenii
magnolia x loebneri,leonard messel
populus nigra,italica
malus x,pink spires
magnolia x,daybreak
magnolia x,sunburst
magnolia x,galaxy
crataegus laevigata,crimson cloud
picea glauca,pendula
ginkgo biloba,pendula
fagus sylvatica,purpurea pendula
fraxinus pennsylvanica,prairies spires
salix x,prairie cascade
malus x,maybride
prunus cerasifera,newport
malus x,purple wave
thuya occidentalis,wareana
thuya occidentalis,brandon gold
gleditsia triacanthos,elegantissima
malus baccata,jackii
populus alba,bolleana
picea pungens,engelm
salix babylonica,crispa
malus baccata,erecta
populus x canadensis,prairie sky
malus,royal splendor
acer rubrum,autumn radiance
tilia cordata,morden
gleditsia triacanthos,fairview
gleditsia triacanthos,prairie silk
acer rubrum,scanlon
malus,adams
malus x,red jade
acer sacccharum,columnare
acer rubrum,pyramidal
aesculus x carnea,fort mcnair
fraxinus pennsylvanica,superform
malus x,scarlet
picea pungens,pendula
gleditsia triacanthos,moraine
amelanchier canadensis,ballerina
gymnocladus dioicus,stately manor
malus x,white splendor
acer saccharum,unity
malus x,red splendor
malus x,red jewel
malus x,sugar tyme
acer ginnala,betzam
malus x,snowcloud
populus x canadensis,serotina
amelanchier laevis,cumulus
fagus grandifolia,purple fountain
malus x,jeflite
acer x freemanii,bailston
prunus serrulata,kwanzan
malus x,strathmore
sorbus aucuparia,rosedale
acer platanoides,fairview
populus simonii,fastigiata
prunus domestica,damas
acer saccharinum,silver cloud
sorbus aucuparia,fastigiata
acer negundo,sensation
fraxinus nigra,northern treasure
acer platanoides,alberta park
magnolia,little susan
maackia amurensis,starburst
juniperus chinensis,mountbatten
prunus padus,skinner
populus tremuloides,erecta
malus x,kelsey
magnolia fraseri,goldstar
sorbus aucuparia,cardinal
malus x,velvet pillar
prunus maakii,jefree
magnolia rustica,rubra
acer rubrum,karpick
fagus sylvatica,dawyck gold
robinia pseudoacacia,twisty baby
caragana arborescens,walker
gleditsia t.,sungolzam
acer platanoides,cleveland
ulmus davidiana,grennstone
quercus x macdanielii,clemons
malus robusta,erecta
betula pendula,youngii
phellodendron amurensis,maelio
fraxinus pennsylvanica,cimmzam
larix kaempferi,blue rabbit
acer tatricum,rubrum
tilia americana,duros
gleditsia triacanthos,true shade
tilia cordata,baileyi
tilia cordata,green globe
betula pendula,purpurea
acer ginnala,embers
tilia americana,fastigiata
acer saccharum,bonfire
acer saccharum,commemoration
crataegus x oxyacantha,paul scarlet
amelanchier laevis,prince charles
populus x canadensis,aurea
malus x,liset
caragana arobrescens,pendula
gleditsia triacanthos var. inermis,honeylocust
malus,crab apple
styphnolobium japonicum,sophora
morus,mulberry
lagerstroemia,crepe myrtle
aesculus hippocastanum,horse chestnut
ilex,holly
nyssa sylvatica,blackgum
prunus,cherry
koelreuteria paniculata,golden raintree
quercus shumardii,schumard
parrotia persica,persian ironwood
cornus mas,cornelian cherry
thuja occidentalis,arborvitae
syringa pekinensis,chinese tree lilac
betula pendula,silver birch
paulownia tomentosa,empress tree
catalpa,catalpa
cedrus deodara,himalayan cedar
phellodendron amurense,amur cork tree
magnolia,magnolia
cotinus coggygria,smoketree
larix laricina,american larch
taxodium ascendens,pond cypress
crataegus crusgalli var. inermis,cockspur hawthorn
magnolia acuminata,cucumber magnolia
amelanchier,serviceberry
acer tataricum,tartar maple
pinus nigra,black pine
carpinus japonica,japanese hornbeam
halesia diptera,NA
chamaecyparis pisifera,false cypress
tilia cordata,linden
acer rubrum,maple
acer x freemanii,maple
acer platanoides,maple
quercus palustris,oak
cornus mas,dogwood
gleditsia triacanthos inermis,honeylocust
quercus rubra,oak
robinia pseudoacacia,locust
prunus serotina,cherry
catalpa speciosa,catalpa
ulmus americana,elm
quercus acutissima,oak
amelanchier arborea,serviceberry
carpinus betulus,hornbeam
syringa reticulata,lilac
acer ginnala,maple
tilia tomentosa,linden
quercus bicolor,oak
pyrus calleryana,pear
acer campestre,maple
acer miyabei,maple
acer griseum,maple
crataegus spp.,hawthorn
prunus spp.,cherry/plum
cornus kousa,dogwood
acer spp.,maple
acer tataricum,maple
ulmus spp.,elm
picea pungens,spruce
picea abies,spruce
morus alba,mulberry
acer saccharinum,maple
amelanchier laevis,serviceberry
gymnocladus dioicus,coffeetree
acer palmatum,maple
cornus drummondii,dogwood
aesculus flava,buckeye
tilia americana,linden
acer saccharum,maple
aesculus glabra,buckeye
sophora japonica,pagodatree
juniperus virginiana,redcedar
ulmus pumila,elm
koelreuteria paniculata,goldenraintree
ulmus rubra,elm
fraxinus spp.,ash
picea glauca,spruce
fraxinus pennsylvanica,ash
corylus colurna,filbert
cornus florida,dogwood
betula nigra,birch
carpinus caroliniana,hornbeam
taxus spp.,yew
magnolia virginiana,magnolia
pyrus communis,pear
acer nigrum,maple
prunus avium,cherry
salix babylonica,willow
quercus alba,oak
magnolia x soulangiana,magnolia
salix nigra,willow
fraxinus americana,ash
pinus strobus,pine
carya cordiformis,hickory
morus rubra,mulberry
ilex opaca,holly
betula papyrifera,birch
prunus cerasifera,plum
prunus serrulata,cherry
quercus velutina,oak
juglans nigra,walnut
quercus robur,oak
pinus sylvestris,pine
malus communis,apple
magnolia stellata,magnolia
prunus pensylvanica,cherry
hamamelis virginiana,witchhazel
sorbus americana,mountainash
acer pseudoplatanus,maple
pinus nigra,pine
ulmus parvifolia,elm
acer buergerianum,maple
quercus muehlenbergii,oak
cercidiphyllum japonicum,katsuratree
quercus coccinea,oak
eucommia ulmoides,hardy rubbertree
sambucus canadensis,elderberry
syringa vulgaris,lilac
quercus macrocarpa,oak
nyssa sylvatica,tupelo
acer pensylvanicum,maple
crataegus viridis,hawthorn
quercus spp.,oak
magnolia grandiflora,magnolia
chamaecyparis pisifera,falsecypress
fagus sylvatica,beech
picea engelmannii,spruce
magnolia acuminata,magnolia
salix matsudana,willow
cercis reniformis,redbud
betula pendula,birch
prunus subhirtella,cherry
salix discolor,willow
betula populifolia,birch
castanea mollissima,chestnut
sorbus aucuparia,mountainash
quercus nigra,oak
amelanchier alnifolia,serviceberry
pinus virginiana,pine
fagus grandifolia,beech
rhus glabra,sumac
aesculus pavia,buckeye
chamaecyparis nootkatensis,falsecypress
carya glabra,hickory
asimina triloba,pawpaw
pinus mugo,pine
cedrus atlantica,cedar
halesia tetraptera,silverbell
cotinus obovatus,smoketree
populus nigra,poplar
prunus sargentii,cherry
prunus nigra,plum
prunus x yedoensis,cherry
magnolia tripetala,magnolia
carya illinoensis,pecan
abies concolor,fir
wisteria spp.,wisteria
pinus resinosa,pine
abies balsamea,fir
pinus bungeana,pine
corylus americana,filbert
juglans regia,walnut
quercus phellos,oak
rhus typhina,sumac
chamaecyparis thyoides,whitecedar
styrax americanus,snowbell
prunus americana,plum
picea glauca var. albertiana,spruce
styrax japonicus,snowbell
populus alba,poplar
corylus cornuta,filbert
viburnum prunifolium,viburnum
ulmus x,elm
chionanthus virginicus,fringetree
chionanthus retusus,fringetree
amelanchier spp.,serviceberry
berberis thunbergii,barberry
buxus spp.,boxwood
betula alleghaniensis,birch
pinus parviflora,pine
abies fraseri,fir
quercus imbricaria,oak
quercus cerris,oak
styphnolobium japonicum,pagodatree
populus x canadensis,poplar
picea omorika,spruce
pinus flexilis,pine
cornus alternifolia,dogwood
cryptomeria japonica,cryptomeria
quercus prinus,oak
tilia petiolaris,linden
salix spp.,willow
magnolia spp.,magnolia
acer truncatum,maple
sequoiadendron giganteum,sequoia
carya tomentosa,hickory
acer x truncatum,maple
castanea dentata,chestnut
picea spp.,spruce
pinus ponderosa,pine
aesculus spp.,buckeye spp.
fraxinus nigra,ash
aesculus x carnea,horsechestnut
halesia caroliniana,silverbell
magnolia macrophylla,magnolia
tetradium daniellii,evodia
chamaecyparis lawsonia,falsecypress
ficus carica,fig
juniperus spp.,juniper
pseudolarix amabilis,larch
cornus spp.,dogwood
ulmus alata,elm
malus spp. ,crabapple
pinus spp.,pine
broussonetia papyrifera,mulberry
quercus x,hybrid oak
platanus x hispanica,sycamore
lyonothamnus floribundus subsp. asplenifolius,santa cruz ironwood
arbutus ,hybrid strawberry tree
thuja occidentalis ,emerald arborvitae
olea europaea ,fruitless olive
ficus rubiginosa,port jackson fig
cycas revoluta,sago palm
leptospermum laevigatum,australian tea tree
lophostemon confertus,brisbane box
podocarpus gracilor,fern pine
tristaniopsis laurina,swamp myrtle
ficus microcarpa nitida ,indian laurel fig tree 
morus alba ,fruitless mulberry
NA,tree
ilex aquifolium,european holly
lagunaria patersonii,primrose tree
magnolia spp,magnolia
prunus laurocerasus,english laurel
prunus serrulata,ornamental cherry
maytenus boaria,mayten
cordyline australis,dracena palm
corymbia ficifolia,red flowering gum
schinus molle,california pepper
metrosideros excelsa,new zealand xmas tree
quercus tomentella,island oak
quercus spp,oak
hakea suaveolens,sweet hakea tree
potential site,potential site
NA,to be determine
ficus retusa nitida,banyan fig
acacia decurrens,acacia
rhamnus alaternus,italian buckthorn
platanus x hispanica ,columbia hybrid plane tree
olea majestic beauty,NA
eucalyptus camaldulensis,river red gum
eucalyptus polyanthemos,silver dollar eucalyptus
melaleuca quinquenervia,cajeput
agonis flexuosa,peppermint willow
koelreuteria paniculata,golden rain tree
eucalyptus citriodora,lemon scented eucalyptus
yucca elephantipes,giant yucca
magnolia grandiflora ,saint mary magnolia
pyrus kawakamii,evergreen pear
ficus microcarpa,chinese banyan
acacia stenophylla,shoestring acacia
hymenosporum flavum,sweetshade
acer buergeranum,trident maple
howea belmoreana,belmore sentry palm
ceanothus ,california lilac 
butia catarinensis,butia
olea europaea ,majestic beauty fruitless olive
magnolia grandiflora ,d.d. blanchard southern magnolia
eucalyptus lehmanni,bushy yate
tree,NA
acacia spp,acacia spp
prunus spp,flowering plum
ginkgo biloba ,ginkgo
magnolia grandiflora ,samuel sommer magnolia
acer rubrum ,red october glory maple
pyrus calleryana ,ornamental pear
ulmus spp,elm spp
eucalyptus spp,eucalyptus
melaleuca ericifolia,heath melaleuca
prunus caroliniana,carolina cherry laurel
tristania conferta,NA
magnolia champaca,champa
acer rubrum ,armstrong red maple
photinia fraseri,photinia
griselinia lucida,griselinia
dodonaea viscosa ,purple hopseed bush
ulmus carpinifolia ,frontier elm 
laurus x ,hybrid laurel
juniperus chinensis,juniper
melaleuca styphelliodes,paperbark tree
acer japonicum,japanese maple
magnolia doltsopa,himalayan magnolia
prunus lyonii,catalina cherry
prunus spp,almond tree
persea americana,avocado
nerium oleander,oleander
maytenus boaria ,meyten tree 
magnolia grandiflora ,russet magnolia
aesculus x carnea ,ruby horse chestnut
magnolia grandiflora ,majestic beauty magnolia
acacia baileyana,bailey
rhaphiolepis majestic beauty,indian hawthorn 
olea europaea ,olive
cupressus spp,cypress species
fraxinus oxycarpa,ash
syzygium australe,eugenia
eriobotrya deflexa ,coppertone loquat
patanus racemosa,NA
eucalyptus robusta,swamp mahogany
aesculus x carnea ,o
prunus cerasifera ,purple leaf plum krauter vesuvius
tilia americana,basswood linden
cassia leptophylla,gold medallion tree
banksia integrifolia,coast banksia
sambucus species,elderberry
taxus baccata,irish yew
pittosporum crassifolium,karo tree
agonis flexuosa ,peppermint willow 
leptospermum scoparium ,new zealand ruby glow tea tree
fraxinus oxycarpa ,raywood ash
chamaecyparis lawsoniana,port orford cedar
dodonaea viscosa,hop bush
rhaphiolepis indica,india hawthorn
rhamnus californica,coffeeberry tree
acer rubrum ,red maple tree 
ulmus propinqua ,emerald sunshine elm
ginkgo biloba ,autumn sentinel ginkgo
zelkova serrata ,village green zelkova
tilia spp,linden
ulmus parvifolia ,drake
ficus nitida,laurel fig
corymbia maculata,spotted gum
shrub,shrub
cornus spp,dogwood
NA,palm spp
quillaja saponaria,chilean soapbark
eucalyptus torquata,coral gum
ceratonia siliqua,carob
prunus subhirtella ,higan cherry
melaleuca spp,melaleuca spp
fraxinus velutina ,arizona ash
pinus spp,pine spp
prunus blireiana,flowering plum
robinia x ambigua,locust
ficus laurel,NA
cussonia spicata,cabbage tree
pyrus spp,pear tree
cotoneaster spp,cotoneaster
ilex spp,holly species
privet,NA
robinia x ambigua ,purple robe locust
melaleuca nesophila,pink melaleuca
platanus x hispanica ,yarwood sycamore
alnus rhombifolia,white alder
malus floribunda,showy crab apple
prunus spp,cherry
pyrus calleryana ,aristocrat callery pear
pseudopanax lessonii,five finger
ulmus ,frontier elm
dracaena draco,dragon tree
ceiba speciosa,silk floss
pinus halepensis,allepo pine
acer rubrum ,red swamp maple
hymenosporum flavum,sweet shade
photinia fraseri,photinia tree
salix spp,willow
prunus domestica ,mariposa plum
grevillea robusta,silk oak tree
cupaniopsis anacardioides,carrotwood
albizia julibrissin,mimosa silk tree
citrus spp,lemon
pyrus calleryana ,ornamental pear tree 
archontophoenix myolensis,myola palm
yucca gloriosa,spanish dagger
ilex altaclarensis ,wilson holly tree
juniperus silicicola,southern red cedar
chamaerops humilis,mediterranean fan palm
brahea edulis,guadalupe palm
acacia longifolia,golden wattle
sapium sebiferum,chinese tallow
pyrus pyrifolia ,asian pear 
acer spp,maple
bambusa spp,bamboo species
casuarina cunninghamiana,horsetail pine
zelkova serrata,sawleaf zelkova
celtis australis,european hackberry
fraxinus spp,ash spp
betula spp,birch
ficus macrophylla,morton bay fig
prunus serrulata ,royal burgundy flowering cherry tree
brugmansia spp,angel trumpet
tecoma stans,trumpet bush
grevillea spp,silkoak species
schefflera species,umbrella tree
pittosporum spp,pittosporum spp
psidium guajava,guava tree
liquidambar styraciflua ,roundleaf sweetgum
acer ginnela,amur maple
vitex lucens,puriri tree
pittosporum tenuifolium,tawhiwhi pittosporum
azara microphylla,NA
grevillea ,silk oak tree 
fraxinus americana,american ash
araucaria columnaris,coral reef araucaria
citrus × limon ,lisbon lemon tree
pyrus calleryana ,new bradford pear
pittosporum tobira,japanese mockorange
ulmus ,prospector elm
ceanothus sps,california lilac
prunus serrulata ,mt. fuji cherry tree
eucalyptus macarthuri,camden wollybutt
casurina stricta,NA
pittosporum eugenioides,tarata
metrosideros robusta,northern rata tree
pinus muricata,bishop pine
liquidambar styraciflua ,festival sweet gum
acacia cyclops,cyclops wattle
albizia distachya,plume albizia tree
ginkgo biloba ,fairmont ginkgo
persea indica,indian bay
private shrub,private shrub
metasequoia glyplostroboides,dawn redwood
podocarpus henkelii,NA
prunus x yedoensis ,NA
taxodium mucronatum,montezuma cypress
arecastrum romanzoffianum,queen palm
leucadendron ,yellow conebush
ginkgo biloba ,princeton sentry maidenhair
cedrus atlantica glauca,blue atlas cedar
ficus carica,edible fig
eucalyptus microtheca,flooded box
pyracantha ,firethorn tree 
syringa,lilac tree
leptospermum scoparium ,helene strybing new zealand tea tree
acer palmatum ,bloodgood japanese maple
tibochina urvilleana,princess flower
liquidambar orientalis,oriental sweet gum
aloe barberae,tree aloe
ligustrum ovalifolium,california privet
howea forsteriana,kentia palm
acacia cognata,river wattle
picea spp,spruce spp
platanus x hispanica ,bloodgood london plane
hakea laurina,sea urchin tree
crateagus spp,hawthorn
corymbia citriodora,lemon scented gum
acacia iteaphylla,willow wattle
pinus coulteri,coulter pine
chorisia speciosa,silk floss tree
eucalyptus melliodora,yellow box
dypsis cabadae,cabada palm
eucalyptus leucoxylon mac ,yellow gum
ulmus parvifolia ,weeping chinese elm
eucalyptus pulverulenta,silver mountain gum tree
dicksonia antarctica,soft tree fern
phoenix reclinata,senegal date palm
fraxinus americana ,american autumn purple ash
alnus cordata,italian alder
juglans nigra,eastern black walnut
viburnum odoratissimum var. awabuki,sweet viburnum
prunus serrulata ,flowering cherry tree 
malus sylvestris,apple
crataegus laevigata ,paul
myrica californica,pacific wax myrtle tree
populus spp,poplar spp
fraxinus x moraine,moraine ash
prunus domestica ,santa rosa plum
solanum rantonnetti,NA
punica granatum ,pomegranate tree 
sambucus mexicana,blue elderberry
arctostaphylos manzanita ,dr. hurd manzanita
paulownia fortunei,dragon tree
magnolia x alba,white champaca
prunus spp ,cherry plum
fraxinus velutina,modesto ash
liquidambar styraciflua ,palo alto sweet gum
prunus ilicifoia,NA
juglans californica,walnut
lithocarpus densiflorus,tan oak
citrus aurantifolia ,seedless lime
fremontodendron spp,flannel bush tree
gleditsia triacanthos ,honey locust 
diospyros kaki,persimmon
prunus serrulata ,weeping double pink flowering cherry
prunus x ,flowering cherry
araucaria araucana,monkey puzzle
brahea aramata,mexican blue palm
corynocarpus laevigata,new zealand laurel
morus rubra,red mulbeerry
chiranthodendron pentadactylon,monkey hand tree
ulmus parvifolia ,chinese elm 
malus x ,NA
sequoiadendron giganteum,sierra redwood
corymbia calophylla,NA
crinodendron patagua,NA
metrosideros excelsa ,NA
fraxinus holotricha,holotricha ash
gleditsia triacanthos ,sunburst honey locust
prunus campanulata,taiwan flowering cherry
citrus × meyeri ,improved meyer lemon
acca sellowiana,pineapple guava tree
jubaea chilensis,chilean wine palm
fraxinus ornus,flowering ash
persea borbonia,false avocado
new zealand tea tree,new zealand tea tree
leucodendron argenteum,silver tree
populus canadensis,canadian poplar
pinus contorta,shore pine
styphnolobium japonicum,chinese scholar tree
ficus microcarpa ,pot belly fig
juglans hindsii,walnut
eucalyptus rudis,swamp gum
lagerstroemia indica ,tuscarora crape myrtle
chamaecyparis obtusa,hinoki cypress
cornus nuttallii x florida ,eddie
cercocarpus betuloides,mountain mahogany
livistona chinensis,chinese fan palm
rhopalostylis baueri,palm
cotinus coggygria ,smoke tree
ziziphus jujuba,jujube
magnolia sargentiana ,robusta magnolia
sophora japonica ,regent scholar tree
malus ,apple tree 
populus trichocarpa,black cottonwood poplar
cedrela fissilis,argentine cedar
fagus sylvatica ,red obelisk beech
acer x ,hybrid maple
eucalyptus saligna,sidney blue gum
prunus amygdalus,almond
quercus douglasii,blue oak
musa spp,banana
schinus polygamus,chilean pepper tree
brachychiton acerifolius,australian flame tree
phoenix rupicola,cliff date palm
escallonia bifida,white escallonia
prunus domestica ,green gage plum
brachychiton discolor,NA
aesculus hippocastanum,white horsechestnut
malus floribunda ,prairie fire crabapple tree
erythrina caffra,coral tree
leptospermum quinquenervia,tea tree
xylosma congestum,brush holly
acer x freemanii ,autumn blaze freeman maple
wodyetia bifurcata,foxtail palm
melia azerdarach,chinaberry
garrya elliptica ,evie coast silktassel tree
juglans ,paradox walnut tree 
caryota maxima ,himalayan fishtail palm
callistemon ,purple bottlebrush
phoenix roebelenii,pigmy date palm
robinia x ambigua ,idaho pink locust
ficus carica ,black mission fig
magnolia x foggii ,jack fogg michelia
magnolia doltsopa ,silvercloud magnolia
radermachera sinica,china doll tree
araucaria bidwillii,bunya bunya
brahea brandegeei,san jose hesper palm
meryta sinclairii,puka or puke tree
yucca spp,yucca
brahea armata,blue hesper palm
butia capitata,pindo palm
abutilon hybridum,flowering maple
auranticarpa rhombifolia,queensland pittosporum
robinia pseudoacacia ,globe locust
yucca aloifolia,spanish bayonet
pinus pinaster,maritime pine
rhamnus alaternus ,john edwards buckthorn
persea americana ,stewart avocado
mangifera indica,mango
pinus thunbergii ,thunderhead pine
liquidambar styraciflua ,burgundy sweet gum
beaucarnea recurvata,ponytail palm
rhopalostylis sapida,nikau palm
chionanthus retusa,chinese fringe tree
magnolia x soulangiana ,chinese magnolia
phoenix spp,NA
quercus keloggii,california black oak
fraxinus uhdei ,tomlinson ash
leptospermum petersonii,lemon scented tea tree
arbutus unedo ,dwarf strawberry tree
aesculus spp,horsechestnut
liquidambar formosana,chinese sweet gum
eucalyptus simmondsi,simmond
lagerstroemia indica ,natchez crape myrtle
sophora japonica,japanese pagoda
prunus lusitanica,portugese cherry laurel
eucalyptus longifolia,woollybutt
moringa oleifera,drumstick tree
garrya elliptica ,james roof coast silktassel tree
prunus serrula,birchbark cherry
fortunella margarita,kumquat
magnolia grandiflora ,timeless beauty southern magnolia
angohpora spp.,angophora species
torreya californica,california nutmeg
macadamia tetraphylla,macadamia
ulmus glabra,scotch elm
citrus x hystrix,kaffir lime
melaleuca leucadendron,weeping tea tree
corylus colurna,hazel
acer tegmentosum,manchurian snakebark maple
leptospermum scoparium ,new zealand white tea tree
styrax japonicus,japanese snowdrop tree
lagerstroemia x ,tuscarora crape myrtle
acacia vestita,hairy wattle
acacia dealbata,silver wattle
ceanothus thyrsiflorus,blueblossom ceanothus
acer circinatum,vine maple
sorbus aucuparia,european mountain ash tr
juniperus scopulorum ,juniper tree 
liquidambar styraciflua ,upright liquidambar
eucalyptus odorata,peppermint box
stenocarpus sinuatus,firewheel tree
geijera spp,geijera
x chiranthofremontia lenzii,hybrid monkey hand tree
pinus torreyana,torrey pine
arbutus menziesii,pacific madrone
metrosideros spp,NA
euphorbia ingens,candelabra tree
dypsis decaryi,triangle palm
platanus orientalis,eastern plane tree
acer paxii,evergreen maple
eucalyptus gunnii,cider gum
ficus carica ,brown turkey fig
fraxinus velutina ,modesto ash tree 
ulmus parvifolia ,true green chinese elm
pyrus x ,bartlett pear
lagerstroemia spp,crape myrtle species
prunus sargentii ,sargent cherry tree 
acer palmatum ,coral bark maple
cassia excelsa,crown of gold tree
callistemon salignus,white flowering bottlebrush
prunus persica nectarina,flowering nectarine tree
citrus,NA
gleditisia triacanthos,NA
platanus × acerifolia,NA
acer x fremanii ,NA
thuga orientalis,NA
laurus nobilis ,NA
viburnum odoratissimum,NA
eucalyptus,NA
cercis,NA
chamaecyparis,NA
laurus x saratoga,NA
podocarpus gracilior,NA
pinus brutia,NA
cercis siliquastrum,NA
ceanothus,NA
pittosporum rhombifolium,NA
parkinsonia aculeata,NA
pyracantha,NA
griselinia littoralis,NA
robinia x ambiqua ,NA
mahonia aquifolium,NA
eleagnus pungens,NA
solanum rantonnetii,NA
baccharis pilularis,NA
musa,NA
eucalyptus ficifolia,NA
eucalyptus leucoxylon,NA
eucalyptus crebra,NA
cotoneaster lacteus,NA
yucca,NA
rhaphiolepis ,NA
acer campestre ,NA
acrocomia totai,NA
cinnamomum glanduliferum,NA
prunus armenica,NA
fraxinus veluntina ,NA
acer buergeranium,NA
crateagus,NA
crateagus lavallei,NA
bauhinia forficata,NA
magnolia soulangiana,NA
acacia,NA
chitalpa tashkentensis ,NA
malus x robinson,NA
saponara quillaja,NA
escallonia,NA
tecomaria capensis,NA
albizia amara,NA
buddleja davidii,NA
ulmus japonica x wilsoniana ,NA
ficus,NA
pithecellobium flexicaule,NA
wisteria,NA
erythrina poeppigiana,NA
taxus baccata ,NA
melaleuca,NA
pittosporum,NA
thuja serphyllum,NA
feijoa sellowiana,NA
buxus,NA
ricinus communis,NA
murraya exotica,NA
sabal mexicana,NA
arctostaphylos manzanita,NA
aesculus × carnea ,NA
betula jacquemontii,NA
schinus terbinthefolius,NA
acer grandidentatum ,NA
citrus japonica,NA
ulmus parviflora,NA
lyonothamnus floribundus,NA
erythrina,NA
michelia doltsopa,NA
ligustrum,NA
pistacia chinensis ,NA
pistacia vera,NA
syzgium australe,NA
mahonia fremontii,NA
viburnum tinus,NA
eucalyptus parvula,NA
michelia champaca,NA
tabebuia chrysotricha,NA
brachea edulis,NA
cupressus funebris,NA
fraxinus berlandieriana,NA
thujopsis dolabrata,NA
pinus sabiniana,NA
leucaena leucocephala,NA
eucalyptus parvifolia,NA
fraxinus pennsylvanica ,NA
aesculus,NA
escallonia x exoniensis,NA
nandina domestica,NA
leptospermum,NA
tibouchina urvilleana,NA
trachylospermum jasminoides,NA
cedrus,NA
ilex aquifolium ,NA
phormium,NA
thuja lawsoniana,NA
euonymus japonicus,NA
buxus sempervirens,NA
bougainvillea,NA
ilex glabra,NA
plumbago auriculata,NA
eugenia uniflora,NA
baccharis,NA
bambusa,NA
heliconia,NA
celtis chinensis,NA
eriobotrya,NA
escallonia virgata,NA
escallonia x exoniensis ,NA
holodiscus discolor,NA
lagerstroemia fauriei,NA
lycianthus rantonnetii,NA
myoporum laevigatum,NA
pittosporum tawhiwhi,NA
platanus hispanica,NA
rhus copallina,NA
strelitzia reginae,NA
cycad,NA
celtis,NA
psidium,NA
robinia,NA
prunus martimia,NA
solanum ellipticum,NA
ligustrum japonicum ,NA
hesperocyparis,NA
robinia idahoensis,NA
washingtonia romanzoffiana,NA
pinus pumila,NA
nandina,NA
quercus chrysolepis,NA
phormium tenax,NA
arbor vitae,NA
lagerstroemia indica x faurei ,NA
caesalpinia pulcherrima,NA
albizia,NA
brugmansia versicolor,NA
