unique_sciname,unique_common_name,genus_name,species_name
prunus serrulata,ornamental cherry,prunus,serrulata
maytenus boaria,mayten,maytenus,boaria
cordyline australis,dracena palm,cordyline,australis
corymbia ficifolia,red flowering gum,corymbia,ficifolia
schinus molle,california pepper,schinus,molle
metrosideros excelsa,new zealand xmas tree,metrosideros,excelsa
quercus tomentella,island oak,quercus,tomentella
quercus spp,oak,quercus,spp
hakea suaveolens,sweet hakea tree,hakea,suaveolens
potential site,potential site,potential,site
,to be determine,NA,NA
ficus retusa nitida,banyan fig,ficus,retusa
acacia decurrens,acacia,acacia,decurrens
rhamnus alaternus,italian buckthorn,rhamnus,alaternus
platanus x hispanica ,columbia hybrid plane tree,platanus,hispanica
olea majestic beauty,,olea,majestic
eucalyptus camaldulensis,river red gum,eucalyptus,camaldulensis
eucalyptus polyanthemos,silver dollar eucalyptus,eucalyptus,polyanthemos
melaleuca quinquenervia,cajeput,melaleuca,quinquenervia
agonis flexuosa,peppermint willow,agonis,flexuosa
koelreuteria paniculata,golden rain tree,koelreuteria,paniculata
eucalyptus citriodora,lemon scented eucalyptus,eucalyptus,citriodora
yucca elephantipes,giant yucca,yucca,elephantipes
magnolia grandiflora ,saint mary magnolia,magnolia,grandiflora
pyrus kawakamii,evergreen pear,pyrus,kawakamii
ficus microcarpa,chinese banyan,ficus,microcarpa
acacia stenophylla,shoestring acacia,acacia,stenophylla
hymenosporum flavum,sweetshade,hymenosporum,flavum
acer buergeranum,trident maple,acer,buergeranum
howea belmoreana,belmore sentry palm,howea,belmoreana
ceanothus ,california lilac ,NA,NA
butia catarinensis,butia,butia,catarinensis
olea europaea ,majestic beauty fruitless olive,olea,europaea
magnolia grandiflora ,d.d. blanchard southern magnolia,magnolia,grandiflora
eucalyptus lehmanni,bushy yate,eucalyptus,lehmanni
tree,,NA,NA
acacia spp,acacia spp,acacia,spp
prunus spp,flowering plum,prunus,spp
ginkgo biloba ,ginkgo,ginkgo,biloba
magnolia grandiflora ,samuel sommer magnolia,magnolia,grandiflora
acer rubrum ,red october glory maple,acer,rubrum
pyrus calleryana ,ornamental pear,pyrus,calleryana
ulmus spp,elm spp,ulmus,spp
eucalyptus spp,eucalyptus,eucalyptus,spp
melaleuca ericifolia,heath melaleuca,melaleuca,ericifolia
prunus caroliniana,carolina cherry laurel,prunus,caroliniana
tristania conferta,,tristania,conferta
magnolia champaca,champa,magnolia,champaca
acer rubrum ,armstrong red maple,acer,rubrum
photinia fraseri,photinia,photinia,fraseri
griselinia lucida,griselinia,griselinia,lucida
dodonaea viscosa ,purple hopseed bush,dodonaea,viscosa
ulmus carpinifolia ,frontier elm ,ulmus,carpinifolia
laurus x ,hybrid laurel,NA,NA
juniperus chinensis,juniper,juniperus,chinensis
melaleuca styphelliodes,paperbark tree,melaleuca,styphelliodes
acer japonicum,japanese maple,acer,japonicum
magnolia doltsopa,himalayan magnolia,magnolia,doltsopa
prunus lyonii,catalina cherry,prunus,lyonii
prunus spp,almond tree,prunus,spp
persea americana,avocado,persea,americana
nerium oleander,oleander,nerium,oleander
maytenus boaria ,meyten tree ,maytenus,boaria
magnolia grandiflora ,russet magnolia,magnolia,grandiflora
aesculus x carnea ,ruby horse chestnut,aesculus,carnea
magnolia grandiflora ,majestic beauty magnolia,magnolia,grandiflora
acacia baileyana,bailey,acacia,baileyana
rhaphiolepis majestic beauty,indian hawthorn ,rhaphiolepis,majestic
olea europaea ,olive,olea,europaea
cupressus spp,cypress species,cupressus,spp
fraxinus oxycarpa,ash,fraxinus,oxycarpa
syzygium australe,eugenia,syzygium,australe
eriobotrya deflexa ,coppertone loquat,eriobotrya,deflexa
patanus racemosa,,patanus,racemosa
eucalyptus robusta,swamp mahogany,eucalyptus,robusta
aesculus x carnea ,o,aesculus,carnea
prunus cerasifera ,purple leaf plum krauter vesuvius,prunus,cerasifera
tilia americana,basswood linden,tilia,americana
cassia leptophylla,gold medallion tree,cassia,leptophylla
banksia integrifolia,coast banksia,banksia,integrifolia
sambucus species,elderberry,sambucus,species
taxus baccata,irish yew,taxus,baccata
pittosporum crassifolium,karo tree,pittosporum,crassifolium
agonis flexuosa ,peppermint willow ,agonis,flexuosa
leptospermum scoparium ,new zealand ruby glow tea tree,leptospermum,scoparium
fraxinus oxycarpa ,raywood ash,fraxinus,oxycarpa
chamaecyparis lawsoniana,port orford cedar,chamaecyparis,lawsoniana
dodonaea viscosa,hop bush,dodonaea,viscosa
rhaphiolepis indica,india hawthorn,rhaphiolepis,indica
rhamnus californica,coffeeberry tree,rhamnus,californica
acer rubrum ,red maple tree ,acer,rubrum
ulmus propinqua ,emerald sunshine elm,ulmus,propinqua
ginkgo biloba ,autumn sentinel ginkgo,ginkgo,biloba
zelkova serrata ,village green zelkova,zelkova,serrata
tilia spp,linden,tilia,spp
ulmus parvifolia ,drake,ulmus,parvifolia
ficus nitida,laurel fig,ficus,nitida
corymbia maculata,spotted gum,corymbia,maculata
shrub,shrub,NA,NA
cornus spp,dogwood,cornus,spp
,palm spp,NA,NA
quillaja saponaria,chilean soapbark,quillaja,saponaria
eucalyptus torquata,coral gum,eucalyptus,torquata
ceratonia siliqua,carob,ceratonia,siliqua
prunus subhirtella ,higan cherry,prunus,subhirtella
melaleuca spp,melaleuca spp,melaleuca,spp
fraxinus velutina ,arizona ash,fraxinus,velutina
pinus spp,pine spp,pinus,spp
prunus blireiana,flowering plum,prunus,blireiana
robinia x ambigua,locust,robinia,ambigua
ficus laurel,,ficus,laurel
cussonia spicata,cabbage tree,cussonia,spicata
pyrus spp,pear tree,pyrus,spp
cotoneaster spp,cotoneaster,cotoneaster,spp
ilex spp,holly species,ilex,spp
privet,,NA,NA
robinia x ambigua ,purple robe locust,robinia,ambigua
melaleuca nesophila,pink melaleuca,melaleuca,nesophila
platanus x hispanica ,yarwood sycamore,platanus,hispanica
alnus rhombifolia,white alder,alnus,rhombifolia
malus floribunda,showy crab apple,malus,floribunda
prunus spp,cherry,prunus,spp
pyrus calleryana ,aristocrat callery pear,pyrus,calleryana
pseudopanax lessonii,five finger,pseudopanax,lessonii
ulmus ,frontier elm,NA,NA
dracaena draco,dragon tree,dracaena,draco
ceiba speciosa,silk floss,ceiba,speciosa
pinus halepensis,allepo pine,pinus,halepensis
acer rubrum ,red swamp maple,acer,rubrum
hymenosporum flavum,sweet shade,hymenosporum,flavum
photinia fraseri,photinia tree,photinia,fraseri
salix spp,willow,salix,spp
prunus domestica ,mariposa plum,prunus,domestica
grevillea robusta,silk oak tree,grevillea,robusta
cupaniopsis anacardioides,carrotwood,cupaniopsis,anacardioides
albizia julibrissin,mimosa silk tree,albizia,julibrissin
citrus spp,lemon,citrus,spp
pyrus calleryana ,ornamental pear tree ,pyrus,calleryana
archontophoenix myolensis,myola palm,archontophoenix,myolensis
yucca gloriosa,spanish dagger,yucca,gloriosa
ilex altaclarensis ,wilson holly tree,ilex,altaclarensis
juniperus silicicola,southern red cedar,juniperus,silicicola
chamaerops humilis,mediterranean fan palm,chamaerops,humilis
brahea edulis,guadalupe palm,brahea,edulis
acacia longifolia,golden wattle,acacia,longifolia
sapium sebiferum,chinese tallow,sapium,sebiferum
pyrus pyrifolia ,asian pear ,pyrus,pyrifolia
acer spp,maple,acer,spp
bambusa spp,bamboo species,bambusa,spp
casuarina cunninghamiana,horsetail pine,casuarina,cunninghamiana
zelkova serrata,sawleaf zelkova,zelkova,serrata
celtis australis,european hackberry,celtis,australis
fraxinus spp,ash spp,fraxinus,spp
betula spp,birch,betula,spp
ficus macrophylla,morton bay fig,ficus,macrophylla
prunus serrulata ,royal burgundy flowering cherry tree,prunus,serrulata
brugmansia spp,angel trumpet,brugmansia,spp
tecoma stans,trumpet bush,tecoma,stans
grevillea spp,silkoak species,grevillea,spp
schefflera species,umbrella tree,schefflera,species
pittosporum spp,pittosporum spp,pittosporum,spp
psidium guajava,guava tree,psidium,guajava
liquidambar styraciflua ,roundleaf sweetgum,liquidambar,styraciflua
acer ginnela,amur maple,acer,ginnela
vitex lucens,puriri tree,vitex,lucens
pittosporum tenuifolium,tawhiwhi pittosporum,pittosporum,tenuifolium
azara microphylla,,azara,microphylla
grevillea ,silk oak tree ,NA,NA
fraxinus americana,american ash,fraxinus,americana
araucaria columnaris,coral reef araucaria,araucaria,columnaris
citrus × limon ,lisbon lemon tree,citrus,limon
pyrus calleryana ,new bradford pear,pyrus,calleryana
pittosporum tobira,japanese mockorange,pittosporum,tobira
ulmus ,prospector elm,NA,NA
ceanothus sps,california lilac,ceanothus,sps
prunus serrulata ,mt. fuji cherry tree,prunus,serrulata
eucalyptus macarthuri,camden wollybutt,eucalyptus,macarthuri
casurina stricta,,casurina,stricta
pittosporum eugenioides,tarata,pittosporum,eugenioides
metrosideros robusta,northern rata tree,metrosideros,robusta
pinus muricata,bishop pine,pinus,muricata
liquidambar styraciflua ,festival sweet gum,liquidambar,styraciflua
acacia cyclops,cyclops wattle,acacia,cyclops
albizia distachya,plume albizia tree,albizia,distachya
ginkgo biloba ,fairmont ginkgo,ginkgo,biloba
persea indica,indian bay,persea,indica
private shrub,private shrub,private,shrub
metasequoia glyplostroboides,dawn redwood,metasequoia,glyplostroboides
podocarpus henkelii,,podocarpus,henkelii
prunus x yedoensis ,,prunus,yedoensis
taxodium mucronatum,montezuma cypress,taxodium,mucronatum
arecastrum romanzoffianum,queen palm,arecastrum,romanzoffianum
leucadendron ,yellow conebush,NA,NA
ginkgo biloba ,princeton sentry maidenhair,ginkgo,biloba
cedrus atlantica glauca,blue atlas cedar,cedrus,atlantica
ficus carica,edible fig,ficus,carica
eucalyptus microtheca,flooded box,eucalyptus,microtheca
pyracantha ,firethorn tree ,NA,NA
syringa,lilac tree,NA,NA
leptospermum scoparium ,helene strybing new zealand tea tree,leptospermum,scoparium
acer palmatum ,bloodgood japanese maple,acer,palmatum
tibochina urvilleana,princess flower,tibochina,urvilleana
liquidambar orientalis,oriental sweet gum,liquidambar,orientalis
aloe barberae,tree aloe,aloe,barberae
ligustrum ovalifolium,california privet,ligustrum,ovalifolium
howea forsteriana,kentia palm,howea,forsteriana
acacia cognata,river wattle,acacia,cognata
picea spp,spruce spp,picea,spp
platanus x hispanica ,bloodgood london plane,platanus,hispanica
hakea laurina,sea urchin tree,hakea,laurina
crateagus spp,hawthorn,crateagus,spp
corymbia citriodora,lemon scented gum,corymbia,citriodora
acacia iteaphylla,willow wattle,acacia,iteaphylla
pinus coulteri,coulter pine,pinus,coulteri
chorisia speciosa,silk floss tree,chorisia,speciosa
eucalyptus melliodora,yellow box,eucalyptus,melliodora
dypsis cabadae,cabada palm,dypsis,cabadae
eucalyptus leucoxylon mac ,yellow gum,eucalyptus,leucoxylon
ulmus parvifolia ,weeping chinese elm,ulmus,parvifolia
eucalyptus pulverulenta,silver mountain gum tree,eucalyptus,pulverulenta
dicksonia antarctica,soft tree fern,dicksonia,antarctica
phoenix reclinata,senegal date palm,phoenix,reclinata
fraxinus americana ,american autumn purple ash,fraxinus,americana
alnus cordata,italian alder,alnus,cordata
juglans nigra,eastern black walnut,juglans,nigra
viburnum odoratissimum var. awabuki,sweet viburnum,viburnum,odoratissimum
prunus serrulata ,flowering cherry tree ,prunus,serrulata
malus sylvestris,apple,malus,sylvestris
crataegus laevigata ,paul,crataegus,laevigata
myrica californica,pacific wax myrtle tree,myrica,californica
populus spp,poplar spp,populus,spp
fraxinus x moraine,moraine ash,fraxinus,moraine
prunus domestica ,santa rosa plum,prunus,domestica
solanum rantonnetti,,solanum,rantonnetti
punica granatum ,pomegranate tree ,punica,granatum
sambucus mexicana,blue elderberry,sambucus,mexicana
arctostaphylos manzanita ,dr. hurd manzanita,arctostaphylos,manzanita
paulownia fortunei,dragon tree,paulownia,fortunei
magnolia x alba,white champaca,magnolia,alba
prunus spp ,cherry plum,prunus,spp
fraxinus velutina,modesto ash,fraxinus,velutina
liquidambar styraciflua ,palo alto sweet gum,liquidambar,styraciflua
prunus ilicifoia,,prunus,ilicifoia
juglans californica,walnut,juglans,californica
lithocarpus densiflorus,tan oak,lithocarpus,densiflorus
citrus aurantifolia ,seedless lime,citrus,aurantifolia
fremontodendron spp,flannel bush tree,fremontodendron,spp
gleditsia triacanthos ,honey locust ,gleditsia,triacanthos
diospyros kaki,persimmon,diospyros,kaki
prunus serrulata ,weeping double pink flowering cherry,prunus,serrulata
prunus x ,flowering cherry,NA,NA
araucaria araucana,monkey puzzle,araucaria,araucana
brahea aramata,mexican blue palm,brahea,aramata
corynocarpus laevigata,new zealand laurel,corynocarpus,laevigata
morus rubra,red mulbeerry,morus,rubra
chiranthodendron pentadactylon,monkey hand tree,chiranthodendron,pentadactylon
ulmus parvifolia ,chinese elm ,ulmus,parvifolia
malus x ,,NA,NA
sequoiadendron giganteum,sierra redwood,sequoiadendron,giganteum
corymbia calophylla,,corymbia,calophylla
crinodendron patagua,,crinodendron,patagua
metrosideros excelsa ,,metrosideros,excelsa
fraxinus holotricha,holotricha ash,fraxinus,holotricha
gleditsia triacanthos ,sunburst honey locust,gleditsia,triacanthos
prunus campanulata,taiwan flowering cherry,prunus,campanulata
citrus × meyeri ,improved meyer lemon,citrus,meyeri
acca sellowiana,pineapple guava tree,acca,sellowiana
jubaea chilensis,chilean wine palm,jubaea,chilensis
fraxinus ornus,flowering ash,fraxinus,ornus
persea borbonia,false avocado,persea,borbonia
new zealand tea tree,new zealand tea tree,new,zealand
leucodendron argenteum,silver tree,leucodendron,argenteum
populus canadensis,canadian poplar,populus,canadensis
pinus contorta,shore pine,pinus,contorta
styphnolobium japonicum,chinese scholar tree,styphnolobium,japonicum
ficus microcarpa ,pot belly fig,ficus,microcarpa
juglans hindsii,walnut,juglans,hindsii
eucalyptus rudis,swamp gum,eucalyptus,rudis
lagerstroemia indica ,tuscarora crape myrtle,lagerstroemia,indica
chamaecyparis obtusa,hinoki cypress,chamaecyparis,obtusa
cornus nuttallii x florida ,eddie,cornus,nuttallii
cercocarpus betuloides,mountain mahogany,cercocarpus,betuloides
livistona chinensis,chinese fan palm,livistona,chinensis
rhopalostylis baueri,palm,rhopalostylis,baueri
cotinus coggygria ,smoke tree,cotinus,coggygria
ziziphus jujuba,jujube,ziziphus,jujuba
magnolia sargentiana ,robusta magnolia,magnolia,sargentiana
sophora japonica ,regent scholar tree,sophora,japonica
malus ,apple tree ,NA,NA
populus trichocarpa,black cottonwood poplar,populus,trichocarpa
cedrela fissilis,argentine cedar,cedrela,fissilis
fagus sylvatica ,red obelisk beech,fagus,sylvatica
acer x ,hybrid maple,NA,NA
eucalyptus saligna,sidney blue gum,eucalyptus,saligna
prunus amygdalus,almond,prunus,amygdalus
quercus douglasii,blue oak,quercus,douglasii
musa spp,banana,musa,spp
schinus polygamus,chilean pepper tree,schinus,polygamus
brachychiton acerifolius,australian flame tree,brachychiton,acerifolius
phoenix rupicola,cliff date palm,phoenix,rupicola
escallonia bifida,white escallonia,escallonia,bifida
prunus domestica ,green gage plum,prunus,domestica
brachychiton discolor,,brachychiton,discolor
aesculus hippocastanum,white horsechestnut,aesculus,hippocastanum
malus floribunda ,prairie fire crabapple tree,malus,floribunda
erythrina caffra,coral tree,erythrina,caffra
leptospermum quinquenervia,tea tree,leptospermum,quinquenervia
xylosma congestum,brush holly,xylosma,congestum
acer x freemanii ,autumn blaze freeman maple,acer,freemanii
wodyetia bifurcata,foxtail palm,wodyetia,bifurcata
melia azerdarach,chinaberry,melia,azerdarach
garrya elliptica ,evie coast silktassel tree,garrya,elliptica
juglans ,paradox walnut tree ,NA,NA
caryota maxima ,himalayan fishtail palm,caryota,maxima
callistemon ,purple bottlebrush,NA,NA
phoenix roebelenii,pigmy date palm,phoenix,roebelenii
robinia x ambigua ,idaho pink locust,robinia,ambigua
ficus carica ,black mission fig,ficus,carica
magnolia x foggii ,jack fogg michelia,magnolia,foggii
magnolia doltsopa ,silvercloud magnolia,magnolia,doltsopa
radermachera sinica,china doll tree,radermachera,sinica
araucaria bidwillii,bunya bunya,araucaria,bidwillii
brahea brandegeei,san jose hesper palm,brahea,brandegeei
meryta sinclairii,puka or puke tree,meryta,sinclairii
yucca spp,yucca,yucca,spp
brahea armata,blue hesper palm,brahea,armata
butia capitata,pindo palm,butia,capitata
abutilon hybridum,flowering maple,abutilon,hybridum
auranticarpa rhombifolia,queensland pittosporum,auranticarpa,rhombifolia
robinia pseudoacacia ,globe locust,robinia,pseudoacacia
yucca aloifolia,spanish bayonet,yucca,aloifolia
pinus pinaster,maritime pine,pinus,pinaster
rhamnus alaternus ,john edwards buckthorn,rhamnus,alaternus
persea americana ,stewart avocado,persea,americana
mangifera indica,mango,mangifera,indica
pinus thunbergii ,thunderhead pine,pinus,thunbergii
liquidambar styraciflua ,burgundy sweet gum,liquidambar,styraciflua
beaucarnea recurvata,ponytail palm,beaucarnea,recurvata
rhopalostylis sapida,nikau palm,rhopalostylis,sapida
chionanthus retusa,chinese fringe tree,chionanthus,retusa
magnolia x soulangiana ,chinese magnolia,magnolia,soulangiana
phoenix spp,,phoenix,spp
quercus keloggii,california black oak,quercus,keloggii
fraxinus uhdei ,tomlinson ash,fraxinus,uhdei
leptospermum petersonii,lemon scented tea tree,leptospermum,petersonii
arbutus unedo ,dwarf strawberry tree,arbutus,unedo
aesculus spp,horsechestnut,aesculus,spp
liquidambar formosana,chinese sweet gum,liquidambar,formosana
eucalyptus simmondsi,simmond,eucalyptus,simmondsi
lagerstroemia indica ,natchez crape myrtle,lagerstroemia,indica
sophora japonica,japanese pagoda,sophora,japonica
prunus lusitanica,portugese cherry laurel,prunus,lusitanica
eucalyptus longifolia,woollybutt,eucalyptus,longifolia
moringa oleifera,drumstick tree,moringa,oleifera
garrya elliptica ,james roof coast silktassel tree,garrya,elliptica
prunus serrula,birchbark cherry,prunus,serrula
fortunella margarita,kumquat,fortunella,margarita
magnolia grandiflora ,timeless beauty southern magnolia,magnolia,grandiflora
angohpora spp.,angophora species,angohpora,spp
torreya californica,california nutmeg,torreya,californica
macadamia tetraphylla,macadamia,macadamia,tetraphylla
ulmus glabra,scotch elm,ulmus,glabra
citrus x hystrix,kaffir lime,citrus,hystrix
melaleuca leucadendron,weeping tea tree,melaleuca,leucadendron
corylus colurna,hazel,corylus,colurna
acer tegmentosum,manchurian snakebark maple,acer,tegmentosum
leptospermum scoparium ,new zealand white tea tree,leptospermum,scoparium
styrax japonicus,japanese snowdrop tree,styrax,japonicus
lagerstroemia x ,tuscarora crape myrtle,NA,NA
acacia vestita,hairy wattle,acacia,vestita
acacia dealbata,silver wattle,acacia,dealbata
ceanothus thyrsiflorus,blueblossom ceanothus,ceanothus,thyrsiflorus
acer circinatum,vine maple,acer,circinatum
sorbus aucuparia,european mountain ash tr,sorbus,aucuparia
juniperus scopulorum ,juniper tree ,juniperus,scopulorum
liquidambar styraciflua ,upright liquidambar,liquidambar,styraciflua
eucalyptus odorata,peppermint box,eucalyptus,odorata
stenocarpus sinuatus,firewheel tree,stenocarpus,sinuatus
geijera spp,geijera,geijera,spp
x chiranthofremontia lenzii,hybrid monkey hand tree,chiranthofremontia,lenzii
pinus torreyana,torrey pine,pinus,torreyana
arbutus menziesii,pacific madrone,arbutus,menziesii
metrosideros spp,,metrosideros,spp
euphorbia ingens,candelabra tree,euphorbia,ingens
dypsis decaryi,triangle palm,dypsis,decaryi
platanus orientalis,eastern plane tree,platanus,orientalis
acer paxii,evergreen maple,acer,paxii
eucalyptus gunnii,cider gum,eucalyptus,gunnii
ficus carica ,brown turkey fig,ficus,carica
fraxinus velutina ,modesto ash tree ,fraxinus,velutina
ulmus parvifolia ,true green chinese elm,ulmus,parvifolia
pyrus x ,bartlett pear,NA,NA
lagerstroemia spp,crape myrtle species,lagerstroemia,spp
prunus sargentii ,sargent cherry tree ,prunus,sargentii
acer palmatum ,coral bark maple,acer,palmatum
cassia excelsa,crown of gold tree,cassia,excelsa
callistemon salignus,white flowering bottlebrush,callistemon,salignus
prunus persica nectarina,flowering nectarine tree,prunus,persica
citrus,,NA,NA
gleditisia triacanthos,,gleditisia,triacanthos
platanus × acerifolia,,platanus,acerifolia
acer x fremanii ,,acer,fremanii
thuga orientalis,,thuga,orientalis
laurus nobilis ,,laurus,nobilis
viburnum odoratissimum,,viburnum,odoratissimum
eucalyptus,,NA,NA
cercis,,NA,NA
chamaecyparis,,NA,NA
laurus x saratoga,,laurus,saratoga
podocarpus gracilior,,podocarpus,gracilior
pinus brutia,,pinus,brutia
cercis siliquastrum,,cercis,siliquastrum
ceanothus,,NA,NA
pittosporum rhombifolium,,pittosporum,rhombifolium
parkinsonia aculeata,,parkinsonia,aculeata
pyracantha,,NA,NA
griselinia littoralis,,griselinia,littoralis
robinia x ambiqua ,,robinia,ambiqua
mahonia aquifolium,,mahonia,aquifolium
eleagnus pungens,,eleagnus,pungens
solanum rantonnetii,,solanum,rantonnetii
baccharis pilularis,,baccharis,pilularis
musa,,NA,NA
eucalyptus ficifolia,,eucalyptus,ficifolia
eucalyptus leucoxylon,,eucalyptus,leucoxylon
eucalyptus crebra,,eucalyptus,crebra
cotoneaster lacteus,,cotoneaster,lacteus
yucca,,NA,NA
rhaphiolepis ,,NA,NA
acer campestre ,,acer,campestre
acrocomia totai,,acrocomia,totai
cinnamomum glanduliferum,,cinnamomum,glanduliferum
prunus armenica,,prunus,armenica
fraxinus veluntina ,,fraxinus,veluntina
acer buergeranium,,acer,buergeranium
crateagus,,NA,NA
crateagus lavallei,,crateagus,lavallei
bauhinia forficata,,bauhinia,forficata
magnolia soulangiana,,magnolia,soulangiana
acacia,,NA,NA
chitalpa tashkentensis ,,chitalpa,tashkentensis
malus x robinson,,malus,robinson
saponara quillaja,,saponara,quillaja
escallonia,,NA,NA
tecomaria capensis,,tecomaria,capensis
albizia amara,,albizia,amara
buddleja davidii,,buddleja,davidii
ulmus japonica x wilsoniana ,,ulmus,japonica
ficus,,NA,NA
pithecellobium flexicaule,,pithecellobium,flexicaule
wisteria,,NA,NA
erythrina poeppigiana,,erythrina,poeppigiana
taxus baccata ,,taxus,baccata
melaleuca,,NA,NA
pittosporum,,NA,NA
thuja serphyllum,,thuja,serphyllum
feijoa sellowiana,,feijoa,sellowiana
buxus,,NA,NA
ricinus communis,,ricinus,communis
murraya exotica,,murraya,exotica
sabal mexicana,,sabal,mexicana
arctostaphylos manzanita,,arctostaphylos,manzanita
aesculus × carnea ,,aesculus,carnea
betula jacquemontii,,betula,jacquemontii
schinus terbinthefolius,,schinus,terbinthefolius
acer grandidentatum ,,acer,grandidentatum
citrus japonica,,citrus,japonica
ulmus parviflora,,ulmus,parviflora
lyonothamnus floribundus,,lyonothamnus,floribundus
erythrina,,NA,NA
michelia doltsopa,,michelia,doltsopa
ligustrum,,NA,NA
pistacia chinensis ,,pistacia,chinensis
pistacia vera,,pistacia,vera
syzgium australe,,syzgium,australe
mahonia fremontii,,mahonia,fremontii
viburnum tinus,,viburnum,tinus
eucalyptus parvula,,eucalyptus,parvula
michelia champaca,,michelia,champaca
tabebuia chrysotricha,,tabebuia,chrysotricha
brachea edulis,,brachea,edulis
cupressus funebris,,cupressus,funebris
fraxinus berlandieriana,,fraxinus,berlandieriana
thujopsis dolabrata,,thujopsis,dolabrata
pinus sabiniana,,pinus,sabiniana
leucaena leucocephala,,leucaena,leucocephala
eucalyptus parvifolia,,eucalyptus,parvifolia
fraxinus pennsylvanica ,,fraxinus,pennsylvanica
aesculus,,NA,NA
escallonia x exoniensis,,escallonia,exoniensis
nandina domestica,,nandina,domestica
leptospermum,,NA,NA
tibouchina urvilleana,,tibouchina,urvilleana
trachylospermum jasminoides,,trachylospermum,jasminoides
cedrus,,NA,NA
ilex aquifolium ,,ilex,aquifolium
phormium,,NA,NA
thuja lawsoniana,,thuja,lawsoniana
euonymus japonicus,,euonymus,japonicus
buxus sempervirens,,buxus,sempervirens
bougainvillea,,NA,NA
ilex glabra,,ilex,glabra
plumbago auriculata,,plumbago,auriculata
eugenia uniflora,,eugenia,uniflora
baccharis,,NA,NA
bambusa,,NA,NA
heliconia,,NA,NA
celtis chinensis,,celtis,chinensis
eriobotrya,,NA,NA
escallonia virgata,,escallonia,virgata
escallonia x exoniensis ,,escallonia,exoniensis
holodiscus discolor,,holodiscus,discolor
lagerstroemia fauriei,,lagerstroemia,fauriei
lycianthus rantonnetii,,lycianthus,rantonnetii
myoporum laevigatum,,myoporum,laevigatum
pittosporum tawhiwhi,,pittosporum,tawhiwhi
platanus hispanica,,platanus,hispanica
rhus copallina,,rhus,copallina
strelitzia reginae,,strelitzia,reginae
cycad,,NA,NA
celtis,,NA,NA
psidium,,NA,NA
robinia,,NA,NA
prunus martimia,,prunus,martimia
solanum ellipticum,,solanum,ellipticum
ligustrum japonicum ,,ligustrum,japonicum
hesperocyparis,,NA,NA
robinia idahoensis,,robinia,idahoensis
washingtonia romanzoffiana,,washingtonia,romanzoffiana
pinus pumila,,pinus,pumila
nandina,,NA,NA
quercus chrysolepis,,quercus,chrysolepis
phormium tenax,,phormium,tenax
arbor vitae,,arbor,vitae
lagerstroemia indica x faurei ,,lagerstroemia,indica
caesalpinia pulcherrima,,caesalpinia,pulcherrima
albizia,,NA,NA
brugmansia versicolor,,brugmansia,versicolor
podocarpus spp,,podocarpus,spp
caryota urens,,caryota,urens
cydonia oblonga,,cydonia,oblonga
acer hybrid,,acer,hybrid
schefflera spp,,schefflera,spp
echium candicans,,echium,candicans
acacia baileyana,alaska willow,acacia,baileyana
abelia x grandiflora,alaska willow,abelia,grandiflora
liquidambar,sweetgum,NA,NA
acer x freemanii ,coast live oak,acer,freemanii
acer buergeranum,arizona white oak,acer,buergeranum
,redwood,NA,NA
,allegheny chinkapin,NA,NA
magnolia grandiflora ,coast live oak,magnolia,grandiflora
acca sellowiana,alpine larch,acca,sellowiana
acer campestre,littletree willow,acer,campestre
zelkova serrata,turkey oak,zelkova,serrata
platanus racemosa,sycamore,platanus,racemosa
acer campestre,alligator juniper,acer,campestre
acer campestre,american beech,acer,campestre
,arizona pine,NA,NA
acer x freemanii ,sweetgum,acer,freemanii
,ashe juniper,NA,NA
,glossy buckthorn,NA,NA
ulmus wilsoniana ,,ulmus,wilsoniana
lophostemon confertus ,variegated brisbane box,lophostemon,confertus
ulmus parvifolia ,drake elm,ulmus,parvifolia
erythrina caffra,kaffirboom coral tree,erythrina,caffra
liquidambar styraciflua,american sweetgum,liquidambar,styraciflua
melaleuca citrina,lemon bottlebrush,melaleuca,citrina
cedrus atlantica ,cedar blue atlas,cedrus,atlantica
ficus microcarpa ,indian laurel fig,ficus,microcarpa
afrocarpus macrophyllus,yew pine,afrocarpus,macrophyllus
hesperocyparis macrocarpa,monterey cypress,hesperocyparis,macrocarpa
tree site deleted,tree site deleted,site,deleted
metrosideros excelsus,new zealand christmas tree,metrosideros,excelsus
lagerstroemia indica ,white crape myrtle,lagerstroemia,indica
melaleuca viminalis,weeping bottlebrush,melaleuca,viminalis
washingtonia filifera x robusta,filibuster hybrid fan palm,washingtonia,filifera
agonis flexuosa,peppermint tree,agonis,flexuosa
resident refusal,resident refusal,resident,refusal
platanus mexicana,mexican sycamore,platanus,mexicana
ficus rubiginosa,rusty leaf fig,ficus,rubiginosa
tipuana tipu,tipu,tipuana,tipu
construction site,construction site,construction,site
platanus x hispanica ,bloodgood plane,platanus,hispanica
tree site does not exist,tree site does not exist,tree,site
eucalyptus deglupta,mindanao gum,eucalyptus,deglupta
angophora costata,gum myrtle,angophora,costata
strelitzia nicolai,giant bird of paradise,strelitzia,nicolai
afrocarpus elongatus ,,afrocarpus,elongatus
handroanthus impetiginosus,pink trumpet tree,handroanthus,impetiginosus
afrocarpus falcatus,african fern pine,afrocarpus,falcatus
prosopis glandulosa,mesquite,prosopis,glandulosa
platanus x hispanica ,columbia plane,platanus,hispanica
